Title,Genre,Rating
Beauty and The Beast,Romance,
Color of Victory,History,
Allied,War,
All of Us Strangers,Fantasy,
Godzilla,Thriller,
Nimona,Animation,
Kung Fu Panda,Fantasy,
Inception,Sc-fi,
Sisu,War,
Stand by Me,Romance,
Joker,Drama,
The Silence of the Lambs,Horror,
Elemental,Animation,
Vertigo,Romance,
Rebel Moon - Part One: A Child of Fire,Fantasy,
La La Land,Music,
The Iron Claw,Sports,
Jurassic Park,Adventure,
Shutter Island,Thriller,
Attack on Titan,Anime,
Spiderman,Action,
The Zone of Interest,War,
Forrest Gump,Drama,
"Lover, Stalker, Killer",Documentary,
Everything Everywhere All at Once,Fantasy,
Terminator,Action,
Sonic,Action,
Parasite,Thriller,
Prince Of Persia,Fantasy,
The Lord of the Rings,Action,
TOY STORY,Animation,
Top Gun: Maverick,Action,
Demon Slayer,Anime,
Saltburn,Thriller,
The Prestige,Mystery,
Thor,Fantasy,
Interstellar,Sci-fi,
Gladiator,Action,
Oppenheimer,Biography,
The Matrix,Action,
Meg,Horror,
The Hill,Sports,
Blade Runner,Sci-fi,
Spirited Away,Anime,
Orion and the Dark,Family,
Morbius,Action,
Apocalypse Now,Thriller,
Captain-marvel,Action,
Jumanji,Adventure,
Braveheart,Fantasy,
Howl's Moving Castle,Anime,
The Sound of Music,Music,
Poor Things,Comedy,
The Beekeeper,Thriller,
One Flew Over the Cuckoo's Nest,Drama,
Society of the Snow,Biography,
The Hunger Games: The Ballad of Songbirds & Snakes,War,
Ford v Ferrari,Sports,
Reptile,Mystery,
"The Good, the Bad and the Ugly",Comedy,
The Shawshank Redemption,Drama,
Up,Animation,
Land of Bad,Thriller,
Gran Turismo,Sports,
Wonka,Family,
Prisoners,Mystery,
Saving Private Ryan,War,
Star Wars,Sci-fi,
Logan,Action,
Oldboy,Crime,
A Star Is Born,Music,
LEAVE NO TRACE,Adventure,
Alien,Sci-fi,
